date_time,"boston,ma_maxtempC","boston,ma_mintempC","boston,ma_totalSnow_cm","boston,ma_sunHour","boston,ma_uvIndex","boston,ma_moon_illumination","boston,ma_moonrise","boston,ma_moonset","boston,ma_sunrise","boston,ma_sunset","boston,ma_DewPointC","boston,ma_FeelsLikeC","boston,ma_HeatIndexC","boston,ma_WindChillC","boston,ma_WindGustKmph","boston,ma_cloudcover","boston,ma_humidity","boston,ma_precipMM","boston,ma_pressure","boston,ma_tempC","boston,ma_visibility","boston,ma_winddirDegree","boston,ma_windspeedKmph","boston,ma_location"
2016-04-26,9,2,0.0,8.7,1,61,11:42 PM,08:50 AM,05:46 AM,07:39 PM,2,2,5,2,18,83,81,2.5,1010,9,9,121,13,"boston,ma"
2016-04-27,15,0,0.0,14.0,3,53,No moonrise,09:39 AM,05:45 AM,07:40 PM,2,9,10,9,13,3,62,0.0,1012,15,8,268,9,"boston,ma"
2016-04-28,14,3,0.0,14.0,3,46,12:30 AM,10:33 AM,05:43 AM,07:41 PM,-1,7,9,7,13,27,52,0.0,1017,14,10,247,10,"boston,ma"
2016-04-29,11,5,0.0,13.4,3,38,01:15 AM,11:32 AM,05:42 AM,07:42 PM,2,7,8,7,12,46,65,0.1,1021,11,10,126,9,"boston,ma"
2016-04-30,16,3,0.0,13.4,3,30,01:56 AM,12:35 PM,05:40 AM,07:44 PM,3,9,10,9,12,24,64,0.0,1023,16,10,168,8,"boston,ma"
2016-05-01,11,5,0.0,8.8,2,29,02:35 AM,01:42 PM,05:39 AM,07:45 PM,4,7,8,7,10,87,79,1.1,1024,11,7,173,7,"boston,ma"
2016-05-02,10,6,0.0,8.8,2,22,03:12 AM,02:51 PM,05:38 AM,07:46 PM,8,7,9,7,11,95,94,0.4,1016,10,5,109,8,"boston,ma"
2016-05-03,10,5,0.0,8.8,2,15,03:48 AM,04:03 PM,05:36 AM,07:47 PM,7,8,8,8,6,89,92,2.0,1012,10,7,114,4,"boston,ma"
2016-05-04,10,6,0.0,8.8,2,8,04:23 AM,05:16 PM,05:35 AM,07:48 PM,6,6,8,6,18,94,88,0.7,1011,10,8,54,13,"boston,ma"
2016-05-05,8,7,0.0,8.8,2,0,05:01 AM,06:31 PM,05:34 AM,07:49 PM,6,4,7,4,29,100,92,1.5,1007,8,7,27,20,"boston,ma"
2016-05-06,13,7,0.0,8.9,2,0,05:42 AM,07:45 PM,05:33 AM,07:50 PM,6,8,9,8,16,85,83,0.2,1010,13,8,54,12,"boston,ma"
2016-05-07,11,8,0.0,8.9,2,0,06:26 AM,08:57 PM,05:31 AM,07:51 PM,7,8,9,8,12,97,87,0.4,1010,11,9,41,9,"boston,ma"
2016-05-08,14,8,0.0,11.1,3,7,07:16 AM,10:04 PM,05:30 AM,07:52 PM,7,9,11,9,20,67,79,1.2,1005,14,7,241,13,"boston,ma"
2016-05-09,17,6,0.0,14.2,4,14,08:10 AM,11:05 PM,05:29 AM,07:53 PM,2,10,12,10,23,10,56,0.2,1015,17,10,281,16,"boston,ma"
2016-05-10,21,5,0.0,14.3,4,21,09:09 AM,11:58 PM,05:28 AM,07:54 PM,5,13,14,13,13,7,56,0.0,1020,21,10,269,9,"boston,ma"
2016-05-11,23,8,0.0,14.3,4,29,10:09 AM,No moonset,05:27 AM,07:55 PM,8,18,18,18,11,1,57,0.0,1020,23,10,259,6,"boston,ma"
2016-05-12,22,9,0.0,14.3,5,36,11:11 AM,12:43 AM,05:26 AM,07:57 PM,8,18,19,18,14,2,55,0.0,1020,22,10,103,9,"boston,ma"
2016-05-13,22,10,0.0,9.0,4,43,12:12 PM,01:22 AM,05:25 AM,07:58 PM,14,16,17,16,14,78,84,3.0,1012,22,7,186,9,"boston,ma"
2016-05-14,24,13,0.0,14.4,5,50,01:12 PM,01:56 AM,05:24 AM,07:59 PM,12,18,19,18,17,23,68,0.0,1005,24,8,245,12,"boston,ma"
2016-05-15,14,7,0.0,13.4,4,58,02:10 PM,02:27 AM,05:23 AM,08:00 PM,2,9,11,9,29,48,57,0.2,1004,14,10,264,21,"boston,ma"
